genotype,predicted_yield_mean,predicted_yield_std,actual_yield_mean,actual_yield_std,plot_count,rank_predicted,rank_actual,rank_error,yield_tier,stability_tier,breeder_score,rank_breeder
SYNGENTA NK0659-3120-EZ1,182.0238513125,67.11952031894134,185.89,69.18470408984923,16,1,1,0,Top 25%,Low,0.744,4
SYNGENTA NK0760-3111,181.37732111111112,63.292466684487074,183.37,70.68533885758605,18,2,2,0,Top 25%,Low,0.758,2
PHN46 X W606S,180.319785,76.91798707935443,181.37,77.75272908393633,16,3,3,0,Top 25%,Low,0.691,17
WYFFELS W1782,175.65819944444445,47.68177535854092,175.75,48.30936141163534,18,4,5,1,Top 25%,Low,0.8,1
2369 X PHN82,172.65969791666666,57.626902009689,172.64499999999998,58.21034982949962,12,5,7,2,Top 25%,Low,0.739,5
LH123HT X 3IIH6,167.375469625,60.89907731966088,168.88,59.98780564970408,16,6,8,2,Top 25%,Low,0.696,14
PIONEER P0589 AMXT,164.396368125,48.48399736090734,175.57125,61.25992435243995,16,7,6,1,Top 25%,Low,0.737,6
HOEGEMEYER 7089 AMXT,164.2883238888889,56.761008158780534,164.25444444444443,56.796296091146665,18,8,10,2,Top 25%,Low,0.699,13
PHW52 X LH185,162.3048635,68.05789421590562,162.56199999999998,67.73842286790841,20,9,12,3,Top 25%,Low,0.637,37
B73 X MO17,161.943635,51.70774880520363,179.02,60.61937034924117,14,10,4,6,Top 25%,Low,0.71,10
PHK56 X LH185,160.73091699999998,49.57820361985883,162.7111111111111,49.485974826966526,18,11,11,0,Top 25%,Low,0.713,9
LH185 X W606S,159.76623425,38.781978294598,159.73499999999999,38.950653396316724,8,12,14,2,Top 25%,Medium,0.757,3
PHK76 X LH198,159.2962168125,52.36484570417138,157.40875,50.62579485795755,16,13,18,5,Top 25%,Low,0.693,16
PHK56 X LH198,158.75729819999998,56.358278966239936,159.752,55.51624168228894,20,14,13,1,Top 25%,Low,0.672,22
PHB47 X PHJ89,157.647628625,56.216684450136576,141.44,48.815529496257646,16,15,37,22,Top 25%,Low,0.667,23
N209 X 3IIH6,156.2440277,63.391100286659736,156.82,62.95197952658669,20,16,19,3,Top 25%,Low,0.627,43
PHN46 X PHB47,155.6963625,62.65955204585564,157.69625,61.370661163675486,16,17,17,0,Top 25%,Low,0.627,43
LH198 X PHZ51,154.8800432142857,56.019761561900964,157.71714285714285,65.63533211600306,14,18,16,2,Top 25%,Low,0.653,28
LH74 X PHN82,153.77492966666668,50.159496789481004,152.3722222222222,52.009630732095076,18,19,25,6,Top 25%,Low,0.674,21
PHK56 X 3IIH6,153.2341605625,40.7455784038492,164.645,46.04463892065321,16,20,9,11,Top 25%,Medium,0.714,8
B73 X PHN82,152.36365225,60.453267474420635,154.788,58.42730810701087,20,21,23,2,Top 25%,Low,0.62,49
PHP02 X PHN46,150.9001265,43.30749143132987,146.615,49.96672572822839,16,22,30,8,Top 25%,Medium,0.69,18
PHK76 X W606S,149.75471725,37.7004528869471,155.73624999999998,45.92176795014174,16,23,21,2,Top 25%,Medium,0.709,11
PHK56 X LH145,149.35517492857142,61.64721806673454,156.27714285714288,57.59793017495994,14,24,20,4,Top 25%,Low,0.599,55
PHP02 X PHG47,148.53599744444443,63.78872703349491,148.7711111111111,63.94240928034509,18,25,29,4,Top 25%,Low,0.585,63
LH185 X LH82,147.1582716,49.761184977819575,146.51,50.27906610995165,10,26,31,5,Top 25%,Low,0.641,34
PHK56 X LH82,146.4260573888889,38.87454115766731,151.81333333333333,50.21352946344711,18,27,26,1,Top 25%,Medium,0.687,19
4N506 X 3IIH6,145.97470227777777,50.965905924568155,154.78555555555556,55.13482578533358,18,28,24,4,Top 25%,Low,0.629,41
LH74 X PHM49,145.53720155555555,57.07000295313135,130.15666666666667,49.62383701408023,18,29,63,34,Top 25%,Low,0.599,55
LH185 X LH145,144.91472124999999,50.901159540742896,140.56125,54.475635027658605,16,30,39,9,Top 50%,Low,0.624,46
PHP02 X W606S,143.75181975,40.98734804384557,143.73625,41.08661840145362,16,31,33,2,Top 50%,Medium,0.663,24
B14A X MO17,143.0768822,40.973121437898236,149.13299999999998,37.60994186871898,20,32,28,4,Top 50%,Medium,0.66,26
LH195 X 3IIH6,142.7106703,29.917676460041122,157.904,43.561800310774466,20,33,15,18,Top 50%,High,0.708,12
LH198 X PHB47,142.68417666666667,36.13110903545929,149.13666666666668,37.861354087424466,12,34,27,7,Top 50%,Medium,0.68,20
PHJ40 X LH82,139.9267292857143,45.775414946565846,139.63285714285715,46.34670504072397,14,35,40,5,Top 50%,Medium,0.621,48
PHG39 X PHM49,139.3461946875,39.91817920896594,137.63,40.99288718790126,16,36,46,10,Top 50%,Medium,0.645,32
2369 X LH123HT,138.88378657142857,40.99947365855649,144.35142857142858,50.034223188832364,14,37,32,5,Top 50%,Medium,0.638,35
PHK56 X PHJ89,138.7992418888889,42.88787389195476,142.25555555555556,53.36359810408571,18,38,36,2,Top 50%,Medium,0.629,41
PHW52 X PHM49,138.31625422222223,47.316514685939815,136.10000000000002,49.55492235299905,18,39,48,9,Top 50%,Low,0.606,52
F42 X MO17,138.2820076111111,63.890377431630014,139.5911111111111,63.67694872316678,18,40,41,1,Top 50%,Low,0.531,79
PHB47 X 3IIH6,138.2419299375,40.66385311624369,135.20625,44.22223933346961,16,41,54,13,Top 50%,Medium,0.636,39
B73 X 3IIH6,138.06042744444443,40.48550320669247,143.33888888888887,37.83036267165941,18,42,34,8,Top 50%,Medium,0.636,39
PHW52 X PHN82,137.6896454,37.102241863770594,138.73399999999998,36.594999140664875,20,43,43,0,Top 50%,Medium,0.649,30
PHP02 X PHK56,137.55690375,47.10734837121535,137.82875,47.340166578357824,16,44,45,1,Top 50%,Low,0.603,53
2369 X PHZ51,137.5554917222222,58.219319390325964,135.04555555555555,54.470805156332,18,45,55,10,Top 50%,Low,0.553,74
B73 X PHZ51,137.09697166666666,66.05054740152023,130.04333333333332,71.29047715742499,12,46,64,18,Top 50%,Low,0.515,80
F42 X OH43,136.33583495,57.91229024359588,135.399,57.3927911207634,20,47,52,5,Top 50%,Low,0.548,75
K64 X B7,135.97011,17.28166787162545,136.04500000000002,17.98668158070616,8,48,49,1,Top 50%,High,0.73,7
LH82 X PHB47,135.6974981875,24.519058487669177,132.80125,38.18443816966977,16,49,59,10,Top 50%,High,0.696,14
LH195 X LH123HT,135.28417444444443,55.12816035501673,133.89666666666665,55.66760595661697,18,50,56,6,Top 50%,Low,0.555,73
2369 X 3IIH6,134.126738125,45.22903686002142,155.06625,57.9923249950658,16,51,22,29,Top 50%,Medium,0.594,58
PHW52 X PHZ51,134.07401705,45.022464876638395,138.85999999999999,51.39436237770175,20,52,42,10,Top 50%,Medium,0.594,58
B84 X 3IIH6,134.0509428,62.63833943982713,135.292,62.10653915905949,20,53,53,0,Top 50%,Low,0.514,81
LH195 X PHM49,133.27183716666667,37.2731296591233,132.97444444444443,41.13321603567984,18,54,57,3,Top 50%,Medium,0.625,45
PHP02 X PHJ89,133.1716619375,31.775086962285243,138.17000000000002,39.76237987511983,16,55,44,11,Top 50%,High,0.65,29
PHT69 X 3IIH6,133.1053203125,29.646393376555192,141.32625,43.57486827289325,16,56,38,18,Top 50%,High,0.659,27
B105 X 3IIH6,133.10158855555557,31.9022285235192,143.33777777777777,44.18674748829982,18,57,35,22,Top 50%,High,0.649,30
LH123HT X PHB47,132.6840784,33.931362129775316,135.55,36.59171369464829,10,58,51,7,Bottom 50%,Medium,0.637,37
PHB47 X PHK56,132.58218595,39.14871065961199,129.232,43.92451774291174,20,59,67,8,Bottom 50%,Medium,0.613,50
PHN46 X PHK56,130.250406,31.10999621641346,135.982,53.57322776006294,20,60,50,10,Bottom 50%,High,0.638,35
PHP02 X PHK76,130.10007816666666,34.032181468336304,128.91666666666666,30.11861179521042,18,61,68,7,Bottom 50%,Medium,0.623,47
LH82 X W606S,129.6871672777778,25.05065733318606,132.83888888888887,35.45544127972277,18,62,58,4,Bottom 50%,High,0.662,25
PHP02 X PHB47,129.59724305555557,51.42347858474653,132.11777777777777,49.360741432551855,18,63,61,2,Bottom 50%,Low,0.542,77
PHP02 X LH82,128.7868874,42.08256714534604,132.195,39.1359724819157,20,64,60,4,Bottom 50%,Medium,0.58,65
PHB47 X LH185,127.968401875,37.11467416142357,136.68,51.507454217812004,16,65,47,18,Bottom 50%,Medium,0.598,57
LH195 X PHZ51,127.890538,41.079611105736355,130.0411111111111,56.99661134291373,18,66,65,1,Bottom 50%,Medium,0.58,65
PHK76 X 3IIH6,127.765895,26.59537453652934,128.65555555555557,26.587988049055756,18,67,69,2,Bottom 50%,High,0.645,32
2369 X PHP02,127.40530355000001,33.16640964688804,113.15799999999999,17.785931637407312,20,68,78,10,Bottom 50%,High,0.613,50
K64 X 66,127.16280409999999,39.53963460163633,106.704,31.88027854332518,10,69,84,15,Bottom 50%,Medium,0.583,64
PHK76 X LH145,126.44628645,43.42105786468704,129.339,41.79908547224197,20,70,66,4,Bottom 50%,Medium,0.562,70
LH82 X PHJ89,125.46217762500001,42.064555454589865,125.24000000000001,42.42338066051157,16,71,70,1,Bottom 50%,Medium,0.563,69
PHZ51 X LH145,125.0252277,39.07875146821425,118.36300000000001,48.04540791902243,20,72,76,4,Bottom 50%,Medium,0.574,67
B37 X OH43,123.27499585714286,45.51204829618996,123.9742857142857,45.595327985068096,14,73,71,2,Bottom 50%,Medium,0.536,78
B73 X PHM49,122.11557144444444,32.81978190670212,119.02888888888889,35.3324065361247,18,74,75,1,Bottom 50%,High,0.587,61
K201 X A344,122.02913525000001,42.55883950026335,122.69833333333334,43.75992580044676,12,75,72,3,Bottom 50%,Medium,0.543,76
PHP02 X LH198,121.0438288,28.974665691788196,111.804,21.478303471177608,20,76,79,3,Bottom 50%,High,0.599,55
LH195 X LH185,120.99250930000001,51.17577471436494,120.70599999999999,51.39929616556816,20,77,74,3,Bottom 50%,Low,0.498,85
PHP02 X LH185,120.8537203125,37.69384287133503,107.96000000000001,24.882579716205747,16,78,82,4,Bottom 50%,Medium,0.559,72
PHP02 X LH145,120.8438055625,50.25316712229078,122.66,48.61834358895142,16,79,73,6,Bottom 50%,Low,0.501,84
2FACC X 3IIH6,115.40665522222223,24.499641664784424,116.50666666666666,23.976112622161843,18,80,77,3,Bottom 50%,High,0.59,60
K64 X OS426,114.1686286,27.45271431306804,107.87,38.41597757878007,10,81,83,2,Bottom 50%,High,0.57,68
K201 X OS426,112.27394380000001,27.46363898191293,89.114,20.96545476094743,10,82,97,15,Bottom 50%,High,0.56,71
'IOWA I 205' X I159,110.74592729999999,36.99340669390266,110.204,38.168140641115855,10,83,80,3,Bottom 50%,Medium,0.509,82
K64 X A344,109.82356616666668,49.42581028842367,105.07333333333334,42.81824320911767,12,84,85,1,Bottom 50%,Low,0.448,97
66 X OS426,109.26536825,46.52263913201517,108.25999999999999,49.00571692067254,12,85,81,4,Bottom 50%,Low,0.458,94
OS426 X I159,106.57634490000001,37.355226285817054,85.264,26.374885023446076,10,86,99,13,Bottom 50%,Medium,0.485,87
LH145 X LH162,106.4455324,32.58040217917894,97.18,37.89658837581974,20,87,89,2,Bottom 50%,High,0.506,83
C.I. 540 X I159,106.01923079999999,42.93741492064678,90.648,38.49569638284259,10,88,95,7,Bottom 50%,Medium,0.457,95
B37 X MO17,103.64582714285714,38.960077658653844,103.29857142857144,39.428939168535145,14,89,86,3,Bottom 50%,Medium,0.463,93
K64 X I159,102.748406,10.877506300453613,130.62,39.2377794138931,10,90,62,28,Bottom 50%,High,0.586,62
K64 X CI 3A,101.78214808333333,35.5268679996827,96.98333333333333,52.01351910510351,12,91,90,1,Bottom 50%,Medium,0.469,91
66 X A344,101.55901125000001,33.89743821230019,101.49666666666667,33.72576714764202,12,92,87,5,Bottom 50%,High,0.475,90
66 X B7,99.32527783333335,26.402556077507036,99.745,26.142171259897648,12,93,88,5,Bottom 50%,High,0.497,86
OS426 X 'IOWA I 205',96.51610769999999,30.329378526410046,95.816,31.294401771278878,10,94,92,2,Bottom 50%,High,0.465,92
66 X I159,95.8292735,32.00435959182142,95.84833333333334,31.850833821919252,12,95,91,4,Bottom 50%,High,0.454,96
WF9 X H95,94.453745,32.4607246600144,91.80125,35.01836182633333,16,96,94,2,Bottom 50%,High,0.444,98
B7 X A344,93.52864641666666,31.830110789942072,93.49666666666667,29.433928268807975,12,97,93,4,Bottom 50%,High,0.442,99
B37 X H95,90.89630711111111,38.67304725928953,88.92666666666668,47.18150559899753,18,98,98,0,Bottom 50%,Medium,0.398,103
K201 X I159,89.68404183333332,18.44268713182897,89.57166666666667,19.160906618013733,12,99,96,3,Bottom 50%,High,0.483,88
KYS X OS426,88.23037675,33.45746056821845,58.13166666666666,9.543853646417805,12,100,109,9,Bottom 50%,High,0.407,100
66 X K201,83.9475183,32.62116963474323,81.61800000000001,29.40223528917487,10,101,101,0,Bottom 50%,High,0.389,104
L 289 X I159,81.839094875,10.857005459986592,81.795,11.337221881925048,8,102,100,2,Bottom 50%,High,0.477,89
B7 X OS426,81.63370391666668,36.966676158375364,81.43833333333333,37.51058343583808,12,103,102,1,Bottom 50%,Medium,0.357,108
PHK76 X LH82,79.9564959375,24.123204893530637,52.62375,13.012173723094845,16,104,111,7,Bottom 50%,High,0.406,101
66 X CI 3A,78.3077804,26.392365747187043,78.428,26.65581645928541,10,105,103,2,Bottom 50%,High,0.388,105
C.I. 540 X OS426,76.25022158333333,31.865796061920346,76.45333333333333,32.334670200416404,12,106,104,2,Bottom 50%,High,0.352,109
A344 X OS426,71.7623975,15.633396216005046,71.735,16.885565264026976,8,107,105,2,Bottom 50%,High,0.402,102
K64 X KYS,70.9710253,18.736852508791554,64.66,10.789985068468715,10,108,107,1,Bottom 50%,High,0.384,106
KYS X I159,63.82272016666667,15.852384559442493,68.09833333333333,21.871520225391215,12,109,106,3,Bottom 50%,High,0.36,107
CI 3A X I159,63.5994267,32.29160466678481,45.362,19.973147974217788,10,110,113,3,Bottom 50%,High,0.284,112
OS426 X CI 3A,63.009573249999995,24.460608462846377,55.01499999999999,13.831379014926362,12,111,110,1,Bottom 50%,High,0.316,110
K64 X K201,62.62835575,27.020963156147417,61.975,27.98225202823084,8,112,108,4,Bottom 50%,High,0.303,111
L 289 X OS426,49.15980583333334,18.068559449088063,49.085,18.577833076496887,12,113,112,1,Bottom 50%,High,0.273,113
PHK56 X W606S,48.0545339,26.443094497074966,38.744,11.300315826461569,10,114,114,0,Bottom 50%,High,0.229,114
